"nombre_del_medio","rss_origen","titular","enlace","descripcion","fecha"
"El País","https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/portada","La (improbable) integración política de la UE es vital","https://elpais.com/ideas/2025-11-30/la-improbable-integracion-politica-de-la-ue-es-vital.html","El balance de la situación mundial es amargo: China busca un orden mundial chinocéntrico, Estados Unidos está liquidando su democracia, los regímenes autoritarios avanzan y la sociedad civil no parece oponer mucha resistencia. Ante este desolador panorama, Europa debe pensar en volar sola y más unida. Es cuestión de supervivencia","2025-11-30T05:30:00+01:00"
"El País","https://feeds.elpais.com/mrss-s/pages/ep/site/elpais.com/section/internacional/portada","La política irrumpe en los escenarios de China: Pekín paraliza actuaciones de artistas japoneses en plena escalada diplomática","https://elpais.com/internacional/2025-12-02/la-politica-irrumpe-en-los-escenarios-de-china-pekin-paraliza-actuaciones-de-artistas-japoneses-en-plena-escalada-diplomatica.html","La tensión entre los dos países por los comentarios de la primera ministra nipona sobre Taiwán llega al terreno cultural","2025-12-02T11:52:05+01:00"
"El País","https://feeds.elpais.com/mrss-s/list/ep/site/elpais.com/section/clima-y-medio-ambiente","Mapa de los paneles solares: la revolución que transforma el planeta de Badajoz al Tíbet","https://elpais.com/clima-y-medio-ambiente/2025-11-24/mapa-de-los-paneles-solares-la-revolucion-que-transforma-el-planeta-de-badajoz-al-tibet.html","El uso de inteligencia artificial para detectar parques fotovoltaicos en imágenes satelitales retrata un panorama floreciente: los gigantes solares siguen creciendo y los países emergentes empiezan a acelerar","2025-11-24T05:30:00+01:00"
"El Mundo","https://e00-elmundo.uecdn.es/elmundo/rss/internacional.xml","Trece detenidos por el incendio que causó la muerte a 151 personas en Hong Kong","https://www.elmundo.es/internacional/2025/12/01/692d59ece85ece06548b4587.html","Según las autoridades, la malla protectora que cubría los andamios no cumplía la normativa de resistencia frente a incendios Leer","2025-12-01T10:52:04+01:00"
"El Mundo","https://e00-elmundo.uecdn.es/elmundo/rss/economia.xml","El descontrol sobre la población de jabalíes que se alimentan de basura pone en jaque 8.800 millones","https://www.elmundo.es/economia/2025/12/01/692de03afc6c83605e8b4579.html","""Miedo en el sector"" a que el brote, controlado de momento, se propague y ponga en jaque las exportaciones de la carne española, que sufre las primeras restricciones de países como China o Reino Unido Leer","2025-12-01T22:50:55+01:00"
"El Mundo","https://e00-elmundo.uecdn.es/elmundo/rss/economia.xml","El protocolo firmado durante el viaje de los Reyes a China que ha salvado al sector porcino español","https://www.elmundo.es/economia/2025/12/02/692f22e2e4d4d8ca648b45b6.html","Establece que, en caso de una crisis sanitaria como un brote de peste porcina, China solo suspendería las importaciones procedentes de las zonas oficialmente declaradas como ""infectadas"" Leer","2025-12-02T19:51:05+01:00"
"El Mundo","https://e00-elmundo.uecdn.es/elmundo/rss/economia.xml","China confirma que sólo prohíbe las exportaciones de cerdo de la provincia de Barcelona y no del resto de España","https://www.elmundo.es/economia/2025/12/01/692daf1be9cf4a4d058b4592.html","Cataluña cree que la peste porcina pudo entrar en España por un bocadillo con embutido contaminado ingerido por jabalíes Leer","2025-12-01T21:43:38+01:00"
"ABC","https://www.abc.es/rss/feeds/abc_internacional.xml","Los puertos griegos, nuevo campo de batalla entre EE.UU. y China","https://www.abc.es/internacional/puertos-griegos-nuevo-campo-batalla-eeuu-china-20251203044129-nt.html","Grecia se ha convertido en los últimos meses en uno de los escenarios centrales de la pugna entre Estados Unidos y China por el dominio de las rutas marítimas comerciales hacia Europa y el control del Mediterráneo oriental. En un contexto internacional marcado por la guerra en Ucrania , los conflictos en Oriente Próximo y la creciente inestabilidad de las rutas comerciales y energéticas globales, la posición geográfica de Grecia convierte sus puertos en infraestructuras clave para ambos países. En su intento de ampliar su influencia en las instalaciones portuarias helenas, Washington se ha encontrado frente a frente con la presencia consolidada de Pekín , que desde hace una década controla la mayor parte del puerto de El Pireo ,... Ver Más","2025-12-03T04:41:29+01:00"
"ABC","https://www.abc.es/rss/feeds/abc_cultura.xml","El Louvre reabre las salas renovadas de pintura española de los siglos XVII y XVIII","https://www.abc.es/cultura/louvre-reabre-salas-renovadas-pintura-espanola-siglos-20251203100650-nt.html","El museo del Louvre , en el ojo del huracán desde el robo de las joyas de la Corona en octubre, reabre este miércoles las salas del Ala Denon dedicadas a la pintura italiana y española de los siglos XVII y XVIII , tras su completa restauración. Este espacio, cuyas obras de renovación han durado un año, muestra obras de Zurbarán, Ribera y Goya , entre otras piezas, con una museografía rediseñada. La nueva disposición permite exponer, precisamente, cuatro placas de cobre grabadas por el maestro aragonés para su serie de ' Disparates ', adquiridas por el museo en 2011. «La exposición se ha modificado para reflejar las adquisiciones y préstamos de otras instituciones, pero también ha permitido un examen más detallado de las obras, la comprobación de su estado y, en caso necesario, un cuidado minucioso de las mismas», señala en un comunicado la pinacoteca , que recientemente tuvo que cerrar una galería debido al deterioro del edificio. Algunas obras, que habían permanecido colgadas desde la apertura de las salas en 1999, fueron examinadas y se limpiaron las capas de pintura y los reversos de cada cuadro. En algunos casos, se repararon los problemas de adherencia de la capa de pintura y se realizó un pulido general para mejorar la presentación. Se mejoraron los marcos y el dorado también fue restaurado. También se revisaron a fondo las etiquetas y los paneles de las salas para complementar la información sobre las obras de arte recolgadas. La Sala Murillo (718) vuelve a albergar las pinturas de gran formato del siglo XVII recientemente restauradas. En particular, los cuatro episodios de la vida de San Buenaventura pintados por Francisco de Herrera el Viejo y Francisco de Zurbarán para el Colegio de San Buenaventura de Sevilla en 1628-1629, que han recuperado su poder monumental y su vibrante paleta de colores. En la sala 719, dedicada a la pintura española de 1750 a 1850 , se exhibe la excepcional colección de pinturas de Francisco de Goya , que incluye retratos de cuerpo entero de grandes españoles, como la Marquesa de Santa Cruz y el Marqués de Cistué (actualmente expuesto en el Louvre-Lens), así como de personas cercanas al artista, como Don Evaristo Pérez de Castro. El punto culminante de esta sala es el retrato de Ferdinand Guillemardet, embajador de la República Francesa en Madrid, pintado por Goya en 1798. La museografía rediseñada de la sala también ha permitido incluir cuatro placas de cobre grabadas por Goya para su serie ' Disparates ', con extrañas escenas como una 'lluvia de toros' o un 'absurdo de bestia', que invitan a descubrir otra técnica explorada por el artista con audacia y libertad y revelan un aspecto oscuro y grotesco de su obra, que contrasta con sus luminosos retratos. Entre las obras enviadas temporalmente al almacén para su examen, limpieza y restauración se encuentra 'Un Milagro' de Fray Francisco de Bartolomé Esteban Murillo , también conocido como 'La Cocina de los Ángeles ', un óleo sobre lienzo de 4,5 metros, que había presentado problemas de conservación. Esta pintura es el único lienzo firmado del primer encargo importante que recibió el joven Murillo en 1646, una serie ahora dispersa, pintada para el pequeño claustro franciscano de Sevilla. «Su iconografía sumamente original, que representa a un fraile franciscano descubriendo que ángeles han preparado milagrosamente la comida que estaba a cargo, siempre le ha ganado una gran popularidad entre los visitantes desde su llegada al museo en 1858», destacan desde el Louvre. La pintura regresará a las galerías en el otoño de 2026. En 2026, se renovarán las salas adyacentes de los 'Pequeños Gabinetes' (salas 730 a 734) para exhibir pinturas españolas y portuguesas de pequeño y mediano formato de los siglos XIV al XIX. Estas salas se encuentran en el mismo lugar que la nueva galería que abre este miércoles el Louvre, con 130 obras de diferentes civilizaciones, incluido un moái de la isla de Pascua, para abrir un diálogo entre continentes y épocas. Este espacio «forma parte de los proyectos que impulsé durante estos cuatro años con la intención de renovar completamente el museo, incluso en el ámbito de la seguridad», declaró el martes a la prensa la presidenta del Louvre, Laurence des Cars , al frente del establecimiento desde 2021. «Podrán contar las cámaras y los sensores en las vitrinas», añadió en referencia al espectacular robo del 19 de octubre por parte de un grupo de cuatro hombres, que irrumpieron en una de las galerías por un balcón. Aunque los cuatro presuntos miembros de este comando han sido detenidos e imputados, las piezas robadas siguen sin aparecer. Esta galería, llamada de los cinco continentes, defiende un «enfoque sin barreras» de la historia del arte , según un comunicado del Louvre. En ella se encuentran, entre otras obras, un sarcófago egipcio de 200 años a. C. y una estatua moái de la isla de Pascua, en Chile, fechada entre los siglos XI y XV. En este amplio espacio de 1.000 m2, las obras no están agrupadas por área geográfica o época, sino por grandes temáticas, como 'nacer y morir', 'creer', 'mostrar autoridad'... En una misma vitrina, por ejemplo, un crucifijo chino del siglo XVII se muestra junto a una escultura antropomórfica de la isla de Pascua del siglo XVIII-XIX, representando símbolos de la fe. De esta manera, en la galería, totalmente renovada, coexisten 42 obras de las colecciones del Louvre (esculturas, objetos de arte, antigüedades griegas, romanas, egipcias...) con 77 piezas provenientes del museo del Quai Branly, más préstamos de otros museos. La exposición también busca fomentar una «reflexión sobre la procedencia de los objetos », en un contexto en que las demandas de restitución por parte de varios países reavivan el debate sobre el origen de las colecciones de los museos europeos. «Se ha convertido en un tema importante para todos los países del mundo», estimó Des Cars.","2025-12-03T10:06:55+01:00"
"ABC","https://www.abc.es/rss/feeds/abc_tecnologia.xml","Probamos el DJI Neo 2: el dron ultracompacto que cualquiera puede utilizar","https://www.abc.es/tecnologia/probamos-dji-neo-dron-ultracompacto-puede-utilizar-20251125161846-nt.html","El DJI Neo probablemente sea uno de los mejores productos de la marca china: un dron asequible, ultrarresistente, compacto y con una calidad de imagen suficiente. Es decir, para un aficionado que quiere tomar algunas imágenes desde el aire sin complicaciones o hacer seguimiento, es perfecto. Después de casi un año utilizando este modelo, donde ha sufrido todo tipo de caídas, golpes y accidentes, el Neo sigue perfectamente funcional sólo cambiándole un par de hélices. Por eso, a pesar de contar con otros drones, con mejor resolución y prestaciones, ha sido nuestro compañero de viaje durante 2025. Ahora, la empresa ha lanzado el DJI Neo 2 , un dispositivo que no representa una evolución tímida, sino un cambio bastante radical... Ver Más","2025-11-25T16:18:47+01:00"
